"Issue Key","Summary","Description","Acceptance Criteria","Story Points"
"","registrar los datos de los caficultores","","","3"
"","Crear 10 tablas de BD","","","8"
"","Visualizar el tiempo total consumido por el lote","","","21"
"","Visualizar hora final de empaquetado","","","8"
"","Visualizar hora inicial de empaquetado","","","8"
"","Visualizar hora final de un lote en la maquina tostadora","","","8"
"","Visualizar hora inicial de un lote en la maquina tostadora","","","8"
"","Visualizar hora final de un lote en la maquina selectora de granos por color","","","8"
"","Visualizar hora inicial de un lote en la maquina selectora de granos por color","","","8"
"","Visualizar hora final de un lote en la maquina densimetrica","","","8"
"","Visualizar hora inicial de un lote en la maquina densimetrica","","","8"
"","Visualizar hora final de un lote en la maquina trilladora","","","8"
"","Visualizar hora inicial de un lote en la maquina trilladora","","","8"
"","Consultar datos de los caficultores con un numero de lote dado","","","3"
"","Borrar lotes","","","3"
"","Modificar los datos de los lotes","","","5"
"","Registrar los datos de los lotes - posproduccion","","","3"
"","Registrar los datos de los lotes - preproduccion","","","3"
"","Registrar los datos de la taza","","","3"
"","Borrar caficultores","","","3"
"","Modificar los datos de los caficultores","","","5"
